ID,REGION,Area_km2,NDVI,NDVI_StDev,NDVI_StDev_km2,NDVI_div_km2,COVID-19_15Aug2020_Last_10_Days,COVID-19_31Aug2020_Last_10_Days,COVID-19_15Sep2020_Last_10_Days,COVID-19_30Sep2020_Last_10_Days,COVID-19_15Oct2020_Last_10_Days,COVID-19_30Oct2020_Last_10_Days,COVID-19_15Nov2020_Last_14_Days,COVID-19_30Nov2020_Last_14_Days
1,Evrou,4.242,0.33,0.11,0.03,0.08,3,2,1,1,2,4,4,4
2,Rodopis,2.543,0.35,0.12,0.05,0.14,3,1,0,0,3,4,4,4
3,Xanthis,1.793,0.23,0.10,0.06,0.13,3,3,1,1,3,4,4,4
4,Kavalas,2.111,0.24,0.08,0.04,0.11,2,3,0,1,2,4,4,4
5,Dramas,3.468,0.25,0.09,0.03,0.07,2,2,1,1,2,4,4,4
6,Serrwn,3.968,0.23,0.11,0.03,0.06,2,1,1,2,1,4,4,4
7,Kilkis,2.519,0.29,0.12,0.05,0.12,2,1,3,2,3,4,4,4
8,Thessalonikis,3.683,0.29,0.13,0.04,0.08,3,3,3,2,3,4,4,4
9,Chalkidikis,2.918,0.24,0.08,0.03,0.08,4,3,1,2,3,4,4,4
10,Agio_Oros,0.336,0.27,0.10,0.30,0.80,0,0,0,3,0,0,0,2
11,Pierias,1.516,0.35,0.12,0.08,0.23,3,3,3,3,3,4,4,4
12,Imathias,1.701,0.41,0.10,0.06,0.24,2,3,3,2,3,4,4,4
13,Pellas,2.506,0.39,0.11,0.04,0.16,3,3,4,3,3,4,4,4
14,Florinas,1.924,0.33,0.15,0.08,0.17,3,2,0,2,1,3,4,4
15,Kastorias,1.720,0.34,0.11,0.06,0.20,3,3,3,3,4,4,4,4
16,Kozanis,3.516,0.30,0.11,0.03,0.09,1,3,3,3,4,4,4,4
17,Grevenwn,2.291,0.32,0.10,0.04,0.14,2,3,3,3,3,3,4,4
18,Ioanninwn,4.990,0.34,0.09,0.02,0.07,1,3,3,3,4,4,3,3
19,Thesprotias,1.515,0.31,0.08,0.05,0.20,1,2,1,0,2,3,3,2
20,Prevezas,1.036,0.31,0.08,0.08,0.30,2,2,0,2,2,3,3,3
21,Artas,1.662,0.30,0.10,0.06,0.18,0,0,1,0,1,3,3,3
22,Trikalwn,3.384,0.35,0.10,0.03,0.10,2,2,3,4,3,4,4,4
23,Larisas,4.381,0.28,0.12,0.03,0.06,3,2,3,3,3,4,4,4
24,Karditsas,2.636,0.35,0.12,0.05,0.13,1,3,0,3,3,3,4,4
25,Aitoloakarnanias,5.461,0.29,0.11,0.02,0.05,1,1,1,2,3,3,3,3
26,Eyrytanias,1.869,0.31,0.09,0.05,0.17,0,0,2,0,0,0,4,4
27,Fokidas,2.120,0.28,0.08,0.04,0.13,1,2,1,0,1,3,4,3
28,Fthiotidas,4.441,0.28,0.10,0.02,0.06,1,0,3,2,3,3,3,3
29,Viotias,2.918,0.18,0.07,0.02,0.06,2,1,2,3,3,3,3,3
30,Anatolikis_Attikis,1.518,0.24,0.08,0.05,0.16,3,3,3,3,3,4,4,3
31,Dytikis_Attikis,1.005,0.22,0.07,0.07,0.22,1,2,3,3,3,4,4,4
32,Athinwn,0.359,0.16,0.06,0.17,0.45,3,3,3,3,3,4,4,3
33,Piraias_kai_Nhswn,0.929,0.21,0.07,0.08,0.23,3,3,3,3,3,4,4,3
34,Evvias,4.167,0.20,0.07,0.02,0.05,1,1,2,2,3,3,2,2
35,Magnisias,2.636,0.33,0.14,0.05,0.13,3,2,0,1,3,3,4,4
36,Korinthou,2.290,0.25,0.06,0.03,0.11,1,1,0,1,3,3,3,3
37,Argolidas,2.154,0.24,0.06,0.03,0.11,3,1,2,2,1,3,2,2
38,Achaias,3.271,0.26,0.07,0.02,0.08,1,1,1,3,3,3,3,3
39,Ilias,2.618,0.25,0.07,0.03,0.10,1,1,1,1,3,2,2,3
40,Messinias,2.991,0.27,0.06,0.02,0.09,1,2,1,1,0,4,3,3
41,Arkadias,4.419,0.26,0.06,0.01,0.06,1,1,1,1,1,3,3,3
42,Lakonias,3.636,0.25,0.06,0.02,0.07,1,0,1,3,3,1,2,2
43,Chaniwn,2.376,0.21,0.08,0.03,0.09,2,3,2,1,2,3,3,3
44,Rethymnoy,1.496,0.21,0.07,0.05,0.14,1,3,3,1,2,3,3,3
45,Hrakleioy,2.641,0.21,0.07,0.03,0.08,2,3,3,3,3,3,3,3
46,Lasithioy,1.823,0.20,0.06,0.03,0.11,1,2,1,1,1,2,3,1
